22:17274081-17382360	.17274081-17382360.vcf.VMV1
22:17365233-17413519	.17365233-17413519.vcf.VMV1
22:17412748-17581941	.17412748-17581941.vcf.VMV1
22:17578285-17676001	.17578285-17676001.vcf.VMV1
22:17674645-17697516	.17674645-17697516.vcf.VMV1
22:17696655-17719837	.17696655-17719837.vcf.VMV1
22:17712994-17726586	.17712994-17726586.vcf.VMV1
22:17723611-17739653	.17723611-17739653.vcf.VMV1
22:17736723-17780611	.17736723-17780611.vcf.VMV1
22:17769623-17825562	.17769623-17825562.vcf.VMV1
22:17812810-17830923	.17812810-17830923.vcf.VMV1
22:17828024-17866675	.17828024-17866675.vcf.VMV1
22:17861267-17990729	.17861267-17990729.vcf.VMV1
22:17989362-18261166	.17989362-18261166.vcf.VMV1
22:18256932-18270928	.18256932-18270928.vcf.VMV1
22:18264115-18281874	.18264115-18281874.vcf.VMV1
22:18273777-18494614	.18273777-18494614.vcf.VMV1
22:18492306-18542104	.18492306-18542104.vcf.VMV1
22:18541037-18562970	.18541037-18562970.vcf.VMV1
22:18555863-18876474	.18555863-18876474.vcf.VMV1
22:18654075-19132352	.18654075-19132352.vcf.VMV1
22:19130866-19141076	.19130866-19141076.vcf.VMV1
22:19138905-19146411	.19138905-19146411.vcf.VMV1
22:19145553-19482035	.19145438-19596421.m48_19145553-19482035.VMV1
22:19355301-19596330	.19145438-19596421.m48_19355301-19596330.VMV1
22:19595429-19640301	.19595429-19640301.vcf.VMV1
22:19639584-19718556	.19639584-19718556.vcf.VMV1
22:19705857-19734486	.19705857-19734486.vcf.VMV1
22:19732210-19911923	.19732201-20228653.m56.1_19732210-19911923.VMV1
22:19911923-20228616	.19732201-20228653.m56.3_19911923-20228616.VMV1
22:20227467-20247236	.20227467-20247236.vcf.VMV1
22:20244994-20279040	.20244994-20279040.vcf.VMV1
22:20277049-20294122	.20277049-20294122.vcf.VMV1
22:20292848-20724058	.20292848-20724058.vcf.VMV1
22:20718709-20956953	.20718709-20956953.vcf.VMV1
22:20949653-20968653	.20949653-20968653.vcf.VMV1
22:20968016-21317546	.20968016-21317546.vcf.VMV1
22:21314949-21322994	.21314949-21322994.vcf.VMV1
22:21321577-21343101	.21321577-21343101.vcf.VMV1
22:21341298-21418006	.21341298-21418006.vcf.VMV1
22:21416784-21458353	.21416784-21458353.vcf.VMV1
22:21455817-21798629	.21455817-21798629.vcf.VMV1
22:21465835-22171436	.21465807-22360301.m82_21465835-22171436.VMV1
22:22071588-22360243	.21465807-22360301.m82_22071588-22360243.VMV1
22:22358167-22395394	.22358167-22395394.vcf.VMV1
22:22394185-22404470	.22394185-22404470.vcf.VMV1
22:22403663-22558099	.22403663-22558099.vcf.VMV1
22:22558052-22757397	.22558052-22757397.vcf.VMV1
22:22755820-22888255	.22755820-22888255.vcf.VMV1
22:22886646-23022388	.22886646-23022388.vcf.VMV1
22:23022266-23046640	.23022266-23046640.vcf.VMV1
22:23045925-23154320	.23045925-23154320.vcf.VMV1
22:23152772-23221729	.23152772-23221729.vcf.VMV1
22:23220882-23231515	.23220882-23231515.vcf.VMV1
22:23230752-23288079	.23230752-23288079.vcf.VMV1
22:23285474-23584647	.23285473-23832540.m106.1_23285474-23584647.VMV1
22:23584647-23832509	.23285473-23832540.m106.2_23584647-23832509.VMV1
22:23831416-23850214	.23831416-23850214.vcf.VMV1
22:23849423-23877473	.23849423-23877473.vcf.VMV1
22:23875209-23925605	.23875209-23925605.vcf.VMV1
22:23923907-23935349	.23923907-23935349.vcf.VMV1
22:23933215-24191066	.23933215-24191066.vcf.VMV1
22:24190064-24209904	.24190064-24209904.vcf.VMV1
22:24209070-24407408	.24209070-24407408.vcf.VMV1
22:24406143-24765379	.24406135-24986247.m122_24406143-24765379.VMV1
22:24643925-24986145	.24406135-24986247.m122_24643925-24986145.VMV1
22:24980984-25283755	.24980984-25283755.vcf.VMV1
22:25281649-25425421	.25281649-25425421.vcf.VMV1
22:25415310-25629529	.25415310-25629529.vcf.VMV1
22:25628241-25647225	.25628241-25647225.vcf.VMV1
22:25645064-25664034	.25645064-25664034.vcf.VMV1
22:25662422-25814131	.25662368-26166548.m134.1_25662422-25814131.VMV1
22:25814131-26166425	.25662368-26166548.m134.2_25814131-26166425.VMV1
22:26164963-26282143	.26164963-26282143.vcf.VMV1
22:26278573-26330422	.26278573-26330422.vcf.VMV1
22:26329135-26355838	.26329135-26355838.vcf.VMV1
22:26350402-26421209	.26350402-26421209.vcf.VMV1
22:26420111-26458261	.26420111-26458261.vcf.VMV1
22:26457208-26471102	.26457208-26471102.vcf.VMV1
22:26467073-26738327	.26467073-26738327.vcf.VMV1
22:26737346-26793278	.26737346-26793278.vcf.VMV1
22:26791772-27117935	.26791772-27117935.vcf.VMV1
22:27117120-27162414	.27117120-27162414.vcf.VMV1
22:27160469-27183015	.27160469-27183015.vcf.VMV1
22:27180051-27202752	.27180051-27202752.vcf.VMV1
22:27196876-27211959	.27196876-27211959.vcf.VMV1
22:27210838-27224300	.27210838-27224300.vcf.VMV1
22:27222172-27299388	.27222172-27299388.vcf.VMV1
22:27294018-27366336	.27294018-27366336.vcf.VMV1
22:27365385-27405830	.27365385-27405830.vcf.VMV1
22:27404370-27428893	.27404370-27428893.vcf.VMV1
22:27427192-27533098	.27427192-27533098.vcf.VMV1
22:27529267-27645022	.27529267-27645022.vcf.VMV1
22:27643803-27657207	.27643803-27657207.vcf.VMV1
22:27654931-27670616	.27654931-27670616.vcf.VMV1
22:27670184-27682612	.27670184-27682612.vcf.VMV1
22:27675349-27696962	.27675349-27696962.vcf.VMV1
22:27693994-27774502	.27693994-27774502.vcf.VMV1
22:27773509-27793322	.27773509-27793322.vcf.VMV1
22:27792485-27836066	.27792485-27836066.vcf.VMV1
22:27829613-27948628	.27829613-27948628.vcf.VMV1
22:27940415-28149426	.27940415-28149426.vcf.VMV1
22:28144324-28168534	.28144324-28168534.vcf.VMV1
22:28166665-28198163	.28166665-28198163.vcf.VMV1
22:28191192-28606789	.28191154-29457602.m198_28191192-28606789.VMV1
22:28470509-29043563	.28191154-29457602.m198_28470509-29043563.VMV1
22:28898687-29404111	.28191154-29457602.m198_28898687-29404111.VMV1
